process_id,commission_year,max_decommission_year,region_id,agent_id,capacity
coal_conventional_steam,1967,2032,UK,power_agent,63.734256
dedicated_biomass,1992,2026,UK,power_agent,0.45146937600000003
dedicated_biomass,1993,2026,UK,power_agent,0.441504
dedicated_biomass,1998,2027,UK,power_agent,1.3087440000000001
dedicated_biomass,2000,2028,UK,power_agent,0.3942
dedicated_biomass,2001,2029,UK,power_agent,1.2614400000000001
dedicated_biomass,2007,2033,UK,power_agent,2.5000479360000005
dedicated_biomass,2013,2039,UK,power_agent,83.25504000000001
dedicated_biomass,2014,2040,UK,power_agent,2.6805600000000003
dedicated_biomass,2015,2041,UK,power_agent,1.072224
dedicated_biomass,2018,2044,UK,power_agent,13.24512
efw,1970,2026,UK,power_agent,1.829088
efw,1994,2032,UK,power_agent,1.10376
efw,2011,2047,UK,power_agent,2.5228800000000002
efw,2014,2050,UK,power_agent,2.8697760000000003
efw,2015,2051,UK,power_agent,2.4913440000000002
efw,2016,2052,UK,power_agent,1.545264
efw,2019,2055,UK,power_agent,2.4913440000000002
hydro,1927,2026,UK,power_agent,0.536112
hydro,1928,2026,UK,power_agent,1.1132208
hydro,1930,2026,UK,power_agent,1.4191200000000002
hydro,1933,2027,UK,power_agent,1.072224
hydro,1935,2027,UK,power_agent,3.405888
hydro,1949,2028,UK,power_agent,0.00693792
hydro,1950,2028,UK,power_agent,7.872773184000001
hydro,1951,2028,UK,power_agent,2.4727377600000002
hydro,1952,2029,UK,power_agent,0.1513728
hydro,1953,2029,UK,power_agent,0.25418016000000004
hydro,1954,2029,UK,power_agent,1.588184496
hydro,1955,2029,UK,power_agent,4.80198672
hydro,1956,2029,UK,power_agent,1.681404912
hydro,1957,2029,UK,power_agent,2.44940112
hydro,1958,2030,UK,power_agent,2.3580728640000004
hydro,1959,2030,UK,power_agent,1.4506560000000002
hydro,1960,2030,UK,power_agent,0.06433344
hydro,1961,2030,UK,power_agent,0.323244
hydro,1962,2031,UK,power_agent,4.184827200000001
hydro,1963,2031,UK,power_agent,2.4747876000000004
hydro,1968,2032,UK,power_agent,0.16398720000000003
hydro,1985,2042,UK,power_agent,0.0031536000000000003
hydro,1990,2046,UK,power_agent,0.01766016
hydro,1998,2054,UK,power_agent,0.01592568
hydro,1999,2055,UK,power_agent,0.01592568
hydro,2000,2056,UK,power_agent,0.045727199999999996
hydro,2002,2058,UK,power_agent,1.457467776
hydro,2003,2059,UK,power_agent,0.00756864
hydro,2005,2061,UK,power_agent,0.257775264
hydro,2006,2062,UK,power_agent,0.462033936
hydro,2008,2064,UK,power_agent,3.341838384
hydro,2009,2065,UK,power_agent,0.12141360000000001
hydro,2010,2066,UK,power_agent,0.023652
hydro,2012,2068,UK,power_agent,0.17329032
hydro,2013,2069,UK,power_agent,0.126144
hydro,2015,2071,UK,power_agent,0.091170576
hydro,2016,2072,UK,power_agent,0.094608
hydro,2017,2073,UK,power_agent,0.063072
hydro,2021,2077,UK,power_agent,0.063072
natural_gas_ccgt,1980,2025,UK,power_agent,37.21248
natural_gas_ccgt,1982,2025,UK,power_agent,23.17896
natural_gas_ccgt,1993,2026,UK,power_agent,22.54824
natural_gas_ccgt,1994,2026,UK,power_agent,12.835152
natural_gas_ccgt,1995,2027,UK,power_agent,49.921488
natural_gas_ccgt,1996,2027,UK,power_agent,43.51968
natural_gas_ccgt,1997,2027,UK,power_agent,55.50336
natural_gas_ccgt,1998,2027,UK,power_agent,85.30488000000001
natural_gas_ccgt,1999,2028,UK,power_agent,12.866688
natural_gas_ccgt,2000,2028,UK,power_agent,115.390224
natural_gas_ccgt,2001,2029,UK,power_agent,13.24512
natural_gas_ccgt,2002,2029,UK,power_agent,27.12096
natural_gas_ccgt,2003,2030,UK,power_agent,19.426176
natural_gas_ccgt,2004,2031,UK,power_agent,82.971216
natural_gas_ccgt,2009,2035,UK,power_agent,28.319328000000002
natural_gas_ccgt,2010,2036,UK,power_agent,112.99348800000001
natural_gas_ccgt,2011,2037,UK,power_agent,43.046640000000004
natural_gas_ccgt,2012,2038,UK,power_agent,69.34766400000001
natural_gas_ccgt,2013,2039,UK,power_agent,42.005952
natural_gas_ccgt,2016,2042,UK,power_agent,28.697760000000002
natural_gas_ccgt,2019,2045,UK,power_agent,9.4608
natural_gas_ccgt,2023,2049,UK,power_agent,26.49024
natural_gas_ocgt,1992,2026,UK,power_agent,18.9216
natural_gas_ocgt,1993,2026,UK,power_agent,7.72632
natural_gas_ocgt,1997,2027,UK,power_agent,2.83824
natural_gas_ocgt,1998,2027,UK,power_agent,6.3072
natural_gas_ocgt,2000,2028,UK,power_agent,5.04576
natural_gas_ocgt,2005,2031,UK,power_agent,2.964384
natural_gas_ocgt,2018,2044,UK,power_agent,2.175984
natural_gas_recip,1952,2035,UK,power_agent,3.78432
nuclear_agr,1976,2028,UK,power_agent,300
nuclear_agr,1983,2030,UK,power_agent,70.79831999999999
nuclear_agr,1988,2033,UK,power_agent,76.94784000000001
nuclear_pwr,1995,2037,UK,power_agent,37.780128000000005
oil_recip,1946,2026,UK,power_agent,0.189216
oil_recip,1952,2027,UK,power_agent,1.229904
oil_recip,1953,2027,UK,power_agent,2.191752
oil_recip,1967,2029,UK,power_agent,1.072224
oil_recip,1970,2030,UK,power_agent,1.671408
oil_recip,1972,2030,UK,power_agent,3.500496
oil_recip,1974,2031,UK,power_agent,3.658176
oil_recip,1979,2033,UK,power_agent,4.541184
oil_recip,1982,2034,UK,power_agent,4.41504
oil_recip,1986,2037,UK,power_agent,0.07884000000000001
oil_recip,1996,2045,UK,power_agent,4.41504
oil_recip,2000,2049,UK,power_agent,0.31536000000000003
oil_recip,2006,2055,UK,power_agent,0.536112
oil_recip,2011,2060,UK,power_agent,1.5768
solar_pv,2011,2047,UK,power_agent,1.9638149954400002
solar_pv,2012,2048,UK,power_agent,2.1769710768
solar_pv,2013,2049,UK,power_agent,11.426836233600001
solar_pv,2014,2050,UK,power_agent,25.004926409040003
solar_pv,2015,2051,UK,power_agent,58.78511000496
solar_pv,2016,2052,UK,power_agent,103.45678699752
solar_pv,2017,2053,UK,power_agent,16.79381278416
solar_pv,2018,2054,UK,power_agent,1.66455964224
solar_pv,2019,2055,UK,power_agent,0.07243188480000001
solar_pv,2020,2056,UK,power_agent,1.8937021104
solar_pv,2022,2058,UK,power_agent,5.43427279776
solar_pv,2023,2059,UK,power_agent,0.21696768
wind_offshore,2004,2035,UK,power_agent,3.78432
wind_offshore,2005,2036,UK,power_agent,2.8382400000000003
wind_offshore,2006,2037,UK,power_agent,2.8382400000000003
wind_offshore,2008,2039,UK,power_agent,8.968838400000001
wind_offshore,2009,2040,UK,power_agent,2.8382400000000003
wind_offshore,2010,2041,UK,power_agent,20.466864
wind_offshore,2011,2042,UK,power_agent,26.395632000000003
wind_offshore,2012,2043,UK,power_agent,15.736464000000002
wind_offshore,2013,2044,UK,power_agent,48.88080000000001
wind_offshore,2014,2045,UK,power_agent,12.267504
wind_offshore,2015,2046,UK,power_agent,15.089976
wind_offshore,2016,2047,UK,power_agent,8.167824
wind_offshore,2017,2048,UK,power_agent,35.1563328
wind_offshore,2018,2049,UK,power_agent,63.923472000000004
wind_offshore,2019,2050,UK,power_agent,60.927552000000006
wind_offshore,2021,2052,UK,power_agent,56.985552000000006
wind_offshore,2022,2053,UK,power_agent,77.610096
wind_offshore,2024,2055,UK,power_agent,378.432
wind_onshore,1993,2026,UK,power_agent,2.1728304
wind_onshore,1994,2026,UK,power_agent,0.48250080000000006
wind_onshore,1995,2027,UK,power_agent,0.614952
wind_onshore,1996,2027,UK,power_agent,1.9331568000000003
wind_onshore,1997,2027,UK,power_agent,1.3844304
wind_onshore,1998,2027,UK,power_agent,0.3216672
wind_onshore,1999,2028,UK,power_agent,0.43708896
wind_onshore,2000,2028,UK,power_agent,1.5358032000000001
wind_onshore,2001,2029,UK,power_agent,1.0820001600000002
wind_onshore,2002,2029,UK,power_agent,3.54212352
wind_onshore,2003,2030,UK,power_agent,7.639596
wind_onshore,2004,2031,UK,power_agent,4.560042528
wind_onshore,2005,2031,UK,power_agent,17.786304
wind_onshore,2006,2032,UK,power_agent,7.92342
wind_onshore,2007,2033,UK,power_agent,21.2379192
wind_onshore,2008,2034,UK,power_agent,18.5147856
wind_onshore,2009,2035,UK,power_agent,12.83294448
wind_onshore,2010,2036,UK,power_agent,11.6020944
wind_onshore,2011,2037,UK,power_agent,26.60629248
wind_onshore,2012,2038,UK,power_agent,27.74284992
wind_onshore,2013,2039,UK,power_agent,42.898420800000004
wind_onshore,2014,2040,UK,power_agent,11.86258176
wind_onshore,2015,2041,UK,power_agent,11.0155248
wind_onshore,2016,2042,UK,power_agent,43.371492336
wind_onshore,2017,2043,UK,power_agent,39.950120160000004
wind_onshore,2018,2044,UK,power_agent,23.645692800000003
wind_onshore,2019,2045,UK,power_agent,8.0826768
wind_onshore,2020,2046,UK,power_agent,3.027456
wind_onshore,2021,2047,UK,power_agent,10.0489464
wind_onshore,2022,2048,UK,power_agent,1.10376
wind_onshore,2023,2049,UK,power_agent,10.2397392
wind_onshore,2024,2050,UK,power_agent,2.1192192000000003
